2018-07-24 20:51:58 status unpacked ncurses-base:all 6.1-1ubuntu1
2018-07-24 20:51:58 status unpacked ncurses-base:all 6.1-1ubuntu1
2018-07-24 20:51:58 install ncurses-bin:amd64 <none> 6.1-1ubuntu1
2018-07-24 20:51:58 status half-installed ncurses-bin:amd64 6.1-1ubuntu1
2018-07-24 20:51:59 status unpacked ncurses-bin:amd64 6.1-1ubuntu1
2018-07-24 20:51:59 status unpacked ncurses-bin:amd64 6.1-1ubuntu1
2018-07-24 20:51:59 install passwd:amd64 <none> 1:4.5-1ubuntu1
2018-07-24 20:51:59 status half-installed passwd:amd64 1:4.5-1ubuntu1
2018-07-24 20:51:59 status unpacked passwd:amd64 1:4.5-1ubuntu1
2018-07-24 20:51:59 status unpacked passwd:amd64 1:4.5-1ubuntu1
2018-07-24 20:51:59 upgrade perl-base:amd64 5.26.1-6 5.26.1-6
2018-07-24 20:51:59 status half-configured perl-base:amd64 5.26.1-6
2018-07-24 20:51:59 status unpacked perl-base:amd64 5.26.1-6
2018-07-24 20:51:59 status half-installed perl-base:amd64 5.26.1-6
2018-07-24 20:51:59 status half-installed perl-base:amd64 5.26.1-6
2018-07-24 20:51:59 status unpacked perl-base:amd64 5.26.1-6
2018-07-24 20:51:59 status unpacked perl-base:amd64 5.26.1-6
2018-07-24 20:51:59 install procps:amd64 <none> 2:3.3.12-3ubuntu1
2018-07-24 20:51:59 status half-installed procps:amd64 2:3.3.12-3ubuntu1
2018-07-24 20:51:59 status unpacked procps:amd64 2:3.3.12-3ubuntu1
2018-07-24 20:51:59 status unpacked procps:amd64 2:3.3.12-3ubuntu1
2018-07-24 20:51:59 install sed:amd64 <none> 4.4-2
2018-07-24 20:51:59 status half-installed sed:amd64 4.4-2
